href,title
thunder://QUFlZDJrOi8vfGZpbGV8JWUzJTgwJTkwbG9sJWU3JTk0JWI1JWU1JWJkJWIxJWU1JWE0JWE5JWU1JWEwJTgyd3d3LmxvbGR5dHQuY29tJWUzJTgwJTkxJUU0JUI4JThEJUU1JThGJUFGJUU2JTgwJTlEJUU1JUJDJTgyLkhEMTI4MCVFOCVCNiU4NSVFNiVCOCU4NSVFNSU5QiVCRCVFOCVBRiVBRCVFNCVCOCVBRCVFOCU4QiVCMSVFNSU4RiU4QyVFNSVBRCU5Ny5tcDR8MTgyNjk1ODUzMXxEQTRFQzMwM0UxMDBBQkYzN0IzNDA0MzBGRTk2QTNEQ3xoPVFYR1dXTlM2UVFCWVBVSDVDUFdIQ05KNEE0WlpITU5XfC9aWg==,不可思异HD1280超清国语中英双字
thunder://QUFlZDJrOi8vfGZpbGV8JWUzJTgwJTkwbG9sJWU3JTk0JWI1JWU1JWJkJWIxJWU1JWE0JWE5JWU1JWEwJTgyd3d3LmxvbGR5dHQuY29tJWUzJTgwJTkxJUU0JUI4JThEJUU1JThGJUFGJUU2JTgwJTlEJUU1JUJDJTgyLkhEMTI4MCVFOSVBQiU5OCVFNiVCOCU4NSVFNSU5QiVCRCVFOCVBRiVBRCVFNCVCOCVBRCVFOCU4QiVCMSVFNSU4RiU4QyVFNSVBRCU5Ny5tcDR8MTE2MDQ2ODAzNXxCQUI2M0JFN0FDQkVEMTAxNTRCMzg0REExOUU5MUMzM3xoPUhFREdVWFVCTVpaVFFKNVNJT0g1RUVGWk1JS0g2MkZPfC9aWg==,不可思异HD1280高清国语中英双字
thunder://QUFmdHA6Ly93d3c6cGlhb2h1YS5jb21AZHkxMjYucGlhb2h1YS5jb206MzY3MTkvxq67qLXn07BwaWFvaHVhLmNvbbK7v8nLvNLsSEQxMjgwuN/H5bn60+/W0NOiy6vX1i5ta3ZaWg==,不可思异HD1280高清国语中英双字
thunder://QUFmdHA6Ly9wOnBAZHguZGwxMjM0LmNvbTo1OTYzL1u159OwzOzMw3d3dy5keTIwMTguY29tXcDPsNa1sbzSQkTW0NOiy6vX1i5ybXZiWlo=,老爸当家BD中英双字
thunder://QUFmdHA6Ly93d3c6cGlhb2h1YS5jb21AZHkxMjYucGlhb2h1YS5jb206MzY2ODcvxq67qLXn07BwaWFvaHVhLmNvbcq1z7DJ+kJEMTI4MLjfx+XW0NOiy6vX1i5ta3ZaWg==,实习生BD1280高清中英双字
thunder://QUFlZDJrOi8vfGZpbGV8JWUzJTgwJTkwbG9sJWU3JTk0JWI1JWU1JWJkJWIxJWU1JWE0JWE5JWU1JWEwJTgyd3d3LmxvbGR5dHQuY29tJWUzJTgwJTkxJUU1JUFFJTlFJUU0JUI5JUEwJUU3JTk0JTlGLjcyMHAuSEQlRTQlQjglQUQlRTglOEIlQjElRTUlOEYlOEMlRTUlQUQlOTclRTMlODAlOTBMT0wlZTclOTQlYjUlZTUlYmQlYjElZTUlYTQlYTklZTUlYTAlODJ3d3cubG9sZHl0dC5jb20lRTMlODAlOTEubWt2fDE0MDA2OTcxODJ8QjlEN0JFRjBBODkzMTY5QUNERTgwREYzN0IyN0ZGNUF8aD1KNFlKNVJVVlo3NEhKS0RWUktCNzVFWlRUVkVDUEg0V3wvWlo=,实习生720pHD中英双字
thunder://QUFmdHA6Ly9oOmhAZDMuZGwxMjM0LmNvbToxODM3L1u159OwzOzMw3d3dy5keTIwMTguY29tXbK7v8nLvNLsQkTW0NOiy6vX1i5ta3ZaWg==,不可思异BD中英双字
thunder://QUFmdHA6Ly95Z2R5ODp5Z2R5OEB5MjE5LmR5ZHl0dC5uZXQ6OTAwOS9b0fS54rXn07B3d3cueWdkeTguY29tXS6yu7/Jy7zS7C5IRC43MjBwLrn60+/W0NfWLnJtdmJaWg==,不可思异HD720p国语中字
thunder://QUFmdHA6Ly9keWdvZDE6ZHlnb2QxQGQ2MTUuZHlnb2Qub3JnOjMwMTUvW7Xn07DM7MzDLXd3dy5keTIwMTgubmV0XdDCzOzJ+tK7ttQuNzIwcC65+tPvLkhE1tDOxNfWxLsucm12Ylpa,新天生一对720p国语HD中文字幕
thunder://QUFmdHA6Ly9keWdvZDE6ZHlnb2QxQGQzMDMuZHlnb2Qub3JnOjEwMzcvW7Xn07DM7MzDd3d3LmR5MjAxOC5uZXRd0MLM7Mn60ru21C4xMjgweDcyMC5CRLn60+/W0NfWLnJtdmJaWg==,新天生一对1280x720BD国语中字
