href,title
thunder://QUFmdHA6Ly9keTpkeUB4bGEueHVuYm8uY2M6MTA0NDAvW9G4wNfPwtTYd3d3Llh1bkJvLkNjXcLMvt7IyzIuQkQxMDI0uN/H5dbQ06LLq9fWLnJtdmJaWg==,绿巨人2BD1024高清中英双字
thunder://QUFmdHA6Ly9keTpkeUB4bGEueHVuYm8uY2M6MjAzNDAvW9G4wNfPwtTYd3d3Llh1bkJvLkNjXcLMvt7IyzIuQkQxMjgwuN/H5dbQ06LLq9fWLnJtdmJaWg==,绿巨人2BD1280高清中英双字
thunder://QUFmdHA6Ly9keTpkeUB4bGouMnR1LmNjOjEwMzc1L1vRuMDXz8LU2Hd3dy4ydHUuY2Ndzt610LrGv8suQkQxMDI0uN/H5bn60+/W0NfWLnJtdmJaWg==,无敌浩克BD1024高清国语中字
thunder://QUFlZDJrOi8vfGZpbGV8JUU2JTk3JUEwJUU2JTk1JThDJUU2JUI1JUE5JUU1JTg1JThCLkJEMTI4MCVFOCVCNiU4NSVFNiVCOCU4NSVFNyU4OSVCOSVFNiU5NSU4OCVFNCVCOCVBRCVFOCU4QiVCMSVFNSU4RiU4QyVFOCVBRiVBRCVFNSU4RiU4QyVFNSVBRCU5Ny5tcDR8MjU1MTUzOTg5M3w1OEExQ0Y4MjhDMUZFNzgxNDVFOUQyODMxNEREOUNFQ3xoPVEyMk5RVUEzNFhCN1BKNDIySVJSMlNVRE9PTDUzUVFIfC9aWg==,无敌浩克BD1280超清特效中英双语双字
thunder://QUFlZDJrOi8vfGZpbGV8JUU2JTk3JUEwJUU2JTk1JThDJUU2JUI1JUE5JUU1JTg1JThCLkJEMTI4MCVFOSVBQiU5OCVFNiVCOCU4NSVFNyU4OSVCOSVFNiU5NSU4OCVFNCVCOCVBRCVFOCU4QiVCMSVFNSU4RiU4QyVFNSVBRCU5Ny5tcDR8MTM2NDMzNjMxMHxGQzI2OTUwRTQxMkQ2RjBERjdGOTJEOTFDMzlCMUQxRXxoPUtURFFXUUFGTUNUSUNJQlZYQjY2TlFYUjRZT0xZNUNSfC9aWg==,无敌浩克BD1280高清特效中英双字
thunder://QUFmdHA6Ly83OjdAZDMuZGwxMjM0LmNvbTo4MDA2L87etdC6xr/LQkS5+tOiy6vT78ur19ZbtefTsMzszMN3d3cuZHkyMDE4LmNvbV0ubWt2Wlo=,无敌浩克BD国英双语双字
thunder://QUFodHRwOi8vYnQubG9sZHl0dC5jb20vYnQvob5MT0y159OwzOzMw3d3dy5sb2xkeXR0LmNvbaG/W87etdC6xr/LX8LMvt7IyzJdW0JELTcyMFAtTVA0XVvTotPv1tDX1l1btrmw6jYuN7fWXVsxLjhHQl1bMjAwOF0udG9ycmVudFpa,[无敌浩克_绿巨人2][BD-720P-MP4][英语中字][豆瓣6.7分][1.8GB][2008].torrent
thunder://QUFodHRwOi8vYnQubG9sZHl0dC5jb20vYnQvob5MT0y159OwzOzMw3d3dy5sb2xkeXR0LmNvbaG/W7jny7nArc+1wdC6z7yvXVsyOLK/yKu8r11bSERUVi1BVkldW8jV0+/W0NfWXVs2NC4wM0ddWzE5NTQtMjAwNF0udG9ycmVudFpa,[哥斯拉系列合集][28部全集][HDTV-AVI][日语中字][64.03G][1954-2004].torrent
thunder://QUFmdHA6Ly9keWdvZDE6ZHlnb2QxQGQwNzYuZHlnb2QuY246MzAwMS/U2dTs1b3Kv0JE1tDX1i9btefTsMzszMN3d3cuZHlnb2QuY25dLtTZ1OzVvcq/LWNkMS5ybXZiWlo=,再造战士-cd1
thunder://QUFmdHA6Ly9keWdvZDI6ZHlnb2QyQGQwNzYuZHlnb2QuY246MzAwMS/U2dTs1b3Kv0JE1tDX1i9btefTsMzszMN3d3cuZHlnb2QuY25dLtTZ1OzVvcq/LWNkMi5ybXZiWlo=,再造战士-cd2
thunder://QUFmdHA6Ly9keTpkeUB4bGEuMnR1LmNjOjEwODU4L1vRuMDXz8LU2Hd3dy4ydHUuY2Nd1NnU7NW9yr8uQkQxMDI0uN/H5dOi0+/W0NfWQ0QxLnJtdmJaWg==,再造战士BD1024高清英语中字CD1
thunder://QUFmdHA6Ly9keTpkeUB4bGEuMnR1LmNjOjIwNzMwL1vRuMDXz8LU2Hd3dy4ydHUuY2Nd1NnU7NW9yr8uQkQxMDI0uN/H5dOi0+/W0NfWQ0QyLnJtdmJaWg==,再造战士BD1024高清英语中字CD2
thunder://QUFmdHA6Ly9keTpkeUB4bGEuMnR1LmNjOjMwNTg3L1vRuMDXz8LU2Hd3dy4ydHUuY2Nd1NnU7NW9yr8uQkQxMjgwuN/H5dOi0+/W0NfWLnJtdmJaWg==,再造战士BD1280高清英语中字
thunder://QUFmdHA6Ly9keTpkeUB4bGouMnR1LmNjOjIwMDM3L1vRuMDXz8LU2Hd3dy4ydHUuY2Nd1NnU7NW9yr8uQkQxMDI0s6zH5dbQ06LLq9fWLm1rdlpa,再造战士BD1024超清中英双字
thunder://QUFlZDJrOi8vfGZpbGV8JUU1JTg2JThEJUU5JTgwJUEwJUU2JTg4JTk4JUU1JUEzJUFCLkJEMTI4MCVFOCVCNiU4NSVFNiVCOCU4NSVFOCU4QiVCMSVFOCVBRiVBRCVFNyU4OSVCOSVFNiU5NSU4OCVFNCVCOCVBRCVFNSVBRCU5Ny5tcDR8MjI2NjUxMDc1N3wzOTY2QjAyQkE3NTdERDdFNTc3MTAzMTcxRUU0QUE1N3xoPU9NRUkzUU1JQkZQRUxHUEs2SVBUUDJDNzZBUkQ3REVVfC9aWg==,再造战士BD1280超清英语特效中字
thunder://QUFlZDJrOi8vfGZpbGV8JUU1JTg2JThEJUU5JTgwJUEwJUU2JTg4JTk4JUU1JUEzJUFCLkJEMTI4MCVFOSVBQiU5OCVFNiVCOCU4NSVFOCU4QiVCMSVFOCVBRiVBRCVFNyU4OSVCOSVFNiU5NSU4OCVFNCVCOCVBRCVFNSVBRCU5Ny5tcDR8MTI2ODIzNzAzOXw1QzRGNDk0QzFGMDE3RUM1ODc1QzMxMDA5NDI1MzNGNXxoPURJQ1BPNFpEN1JEMklaTU9QNE5SVzY0UVlJSktOVEY3fC9aWg==,再造战士BD1280高清英语特效中字
thunder://QUFlZDJrOi8vfGZpbGV8JWUzJTgwJTkwTE9MJWU3JTk0JWI1JWU1JWJkJWIxJWU1JWE0JWE5JWU1JWEwJTgyd3d3LmxvbGR5dHQuY29tJWUzJTgwJTkxJUU1JTg2JThEJUU5JTgwJUEwJUU2JTg4JTk4JUU1JUEzJUFCLkJEMTI4MCVFOCVCNiU4NSVFNiVCOCU4NSVFNSU5QiVCRCVFOCU4QiVCMSVFNSU4RiU4QyVFOCVBRiVBRCVFNCVCOCVBRCVFOCU4QiVCMSVFNSU4RiU4QyVFNSVBRCU5Ny5tcDR8MjM2NDc5MTAyOXwyMDYxOTM5NkJGNjNFOTU1OUQxMzMzRkY5OThGQjlEQnxoPVM1M0hTSk1EN1FZNjVCU1RNUE9PSkhSVkVUNVE2NURKfC9aWg==,再造战士BD1280超清国英双语中英双字
thunder://QUFlZDJrOi8vfGZpbGV8JWUzJTgwJTkwTE9MJWU3JTk0JWI1JWU1JWJkJWIxJWU1JWE0JWE5JWU1JWEwJTgyd3d3LmxvbGR5dHQuY29tJWUzJTgwJTkxJUU1JTg2JThEJUU5JTgwJUEwJUU2JTg4JTk4JUU1JUEzJUFCLkJEMTI4MCVFOSVBQiU5OCVFNiVCOCU4NSVFNSU5QiVCRCVFOCU4QiVCMSVFNSU4RiU4QyVFOCVBRiVBRCVFNCVCOCVBRCVFOCU4QiVCMSVFNSU4RiU4QyVFNSVBRCU5Ny5tcDR8MTI1OTU2OTMyMnw4MDE2OTc3QzVGRjI5MThEQzgyMEY0MkZBMkQ2RENEOXxoPUw2Nk8yQTNaSEFPTkMzRlhNQjVRVlZNVDJZNVFLWDVVfC9aWg==,再造战士BD1280高清国英双语中英双字
thunder://QUFmdHA6Ly82OjZAZnRwMi5rYW42Ni5jb206NDE2OS+hvjZ2tefTsHd3dy5keTEzMS5jb22hv9TZ1OzVvcq/QkTW0NfWMTI4MLjfx+Uucm12Ylpa,再造战士BD中字1280高清
thunder://QUFmdHA6Ly82OjZAZnRwMi5rYW42Ni5jb206NDE2OS+hvjZ2tefTsHd3dy5keTEzMS5jb22hv9TZ1OzVvcq/QkTW0NfWMTAyNLjfx+VDRDEucm12Ylpa,再造战士BD中字1024高清CD1
thunder://QUFmdHA6Ly82OjZAZnRwMi5rYW42Ni5jb206NDE2OS+hvjZ2tefTsHd3dy5keTEzMS5jb22hv9TZ1OzVvcq/QkTW0NfWMTAyNLjfx+VDRDIucm12Ylpa,再造战士BD中字1024高清CD2
thunder://QUFmdHA6Ly9keWdvZDI6ZHlnb2QyQGRhdGE0LmR5Z29kLm5ldDo4NzE0L9TZ1OzVvcq/Mi/U2dTs1b3KvzJbd3d3LmR5Z29kLmNvbbXn07DM7MzDXS5ybXZiWlo=,再造战士2
thunder://QUFmdHA6Ly9keWdvZDI6ZHlnb2QyQGQxMjIuZHlnb2QuY246MzAzMi/Ep7ntw/zB7qO61ti3tdW9s6EuW9bQ19YuMTAyNLfWsebCyl0vW7Xn07DM7MzDd3d3LmR5Z29kLmNuXS7Ep7ntw/zB7qO61ti3tdW9s6EuW9bQ19YuMTAyNLfWsebCyl0ucm12Ylpa,魔鬼命令：重返战场[中字1024分辨率]
thunder://QUFmdHA6Ly82OjZAZnRwMi5rYW42Ni5jb206NDE2OS+hvjZ2tefTsHd3dy5keTEzMS5jb22hv9TZ1OzVvcq/MkJE1tDTosur19YxMDI0uN/H5S5ybXZiWlo=,再造战士2BD中英双字1024高清
thunder://QUFlZDJrOi8vfGZpbGV8JWUzJTgwJTkwTE9MJWU3JTk0JWI1JWU1JWJkJWIxJWU1JWE0JWE5JWU1JWEwJTgyd3d3LmxvbGR5dHQuY29tJWUzJTgwJTkxJUU1JTg2JThEJUU5JTgwJUEwJUU2JTg4JTk4JUU1JUEzJUFCMi5CRDEyODAlRTglQjYlODUlRTYlQjglODUlRTUlOUIlQkQlRTglOEIlQjElRTUlOEYlOEMlRTglQUYlQUQlRTQlQjglQUQlRTglOEIlQjElRTUlOEYlOEMlRTUlQUQlOTcubXA0fDE4OTMzMjExNDR8RTlDNzg2RjU1REY4RjBDMTI5N0M2NUQ1RTQ5QTUxRkV8aD1CNkZRQ09TTExCSEFMWjVSWkhRS1pFUENFTVZFVUtTUnwvWlo=,再造战士2BD1280超清国英双语中英双字
thunder://QUFlZDJrOi8vfGZpbGV8JWUzJTgwJTkwTE9MJWU3JTk0JWI1JWU1JWJkJWIxJWU1JWE0JWE5JWU1JWEwJTgyd3d3LmxvbGR5dHQuY29tJWUzJTgwJTkxJUU1JTg2JThEJUU5JTgwJUEwJUU2JTg4JTk4JUU1JUEzJUFCMi5CRDEyODAlRTklQUIlOTglRTYlQjglODUlRTUlOUIlQkQlRTglOEIlQjElRTUlOEYlOEMlRTglQUYlQUQlRTQlQjglQUQlRTglOEIlQjElRTUlOEYlOEMlRTUlQUQlOTcubXA0fDk5NzI1Mjg0OHxENTBFMjNCNEQ4N0E2QjFCNkIzODkwMThGNkU0MDFERXxoPTNHV1pDNEpTRVdSSTZPNTZRUDIzWllXWU9NVUpETUVFfC9aWg==,再造战士2BD1280高清国英双语中英双字
thunder://QUFodHRwOi8vZG93bi4zM2suY2M6NDE0MzkvW9G4wNfPwtTYWHVuQm8uQ2Nd09C52MqxvOTCw9DQtcTIyMPFzsrM4i5b1tDTosur19YuMTAyNLfWsebCyl0ucm12Ylpa,有关时间旅行的热门问题[中英双字1024分辨率]
thunder://QUFodHRwOi8vYnQubG9sZHl0dC5jb20vYnQvob5MT0y159OwzOzMw3d3dy5sb2xkeXR0LmNvbaG/W9PQudjKsbzkwsPQ0LXEyMjDxc7KzOJdW0hEVFYtUk1WQl1b06LT79bQ19ZdW7a5sOo3Lji31l1bNjg1TUJdWzIwMDldLnRvcnJlbnRaWg==,[有关时间旅行的热门问题][HDTV-RMVB][英语中字][豆瓣7.8分][685MB][2009].torrent
thunder://QUFmdHA6Ly9keTpkeUB4bGouMnR1LmNjOjQwMTczL1vRuMDXz8LU2Hd3dy4ydHUuY2NdsKLM2MCty7nLysvKvOcyLkJEMTAyNLjfx+XW0NfWLnJtdmJaWg==,阿特拉斯耸耸肩2BD1024高清中字
thunder://QUFmdHA6Ly9keTpkeUB4bGouMnR1LmNjOjUwMTU3L1vRuMDXz8LU2Hd3dy4ydHUuY2NdsKLM2MCty7nLysvKvOcyLkJEMTI4MLjfx+XW0NfWLnJtdmJaWg==,阿特拉斯耸耸肩2BD1280高清中字
thunder://QUFodHRwOi8vYnQubG9sZHl0dC5jb20vYnQvob5MT0y159OwzOzMw3d3dy5sb2xkeXR0LmNvbaG/W7CizNjArcu5y8rLyrzno7q12rb+sr9dW0JELTcyMFAtUk1WQl1b06LT79bQ19ZdW7a5sOo2LjC31l1bMS4xR0JdWzIwMTJdLnRvcnJlbnRaWg==,[阿特拉斯耸耸肩：第二部][BD-720P-RMVB][英语中字][豆瓣6.0分][1.1GB][2012].torrent
thunder://QUFlZDJrOi8vfGZpbGV8ob5MT0y159OwzOzMw3d3dy5sb2xkeXR0LmNvbaG/QWR2YW50YWdlb3VzLjIwMTUuSERSaXAuWHZpRC5BQzMtRVZPKGxvbGR5dHQuY29tKS5hdml8MTQ1NDQ2OTQ0NnxCOEZCQjU2OTY5NTc0REE2OEE5NENDNUI4MjA2RjVERHxoPVFMUzJaNUhRQ01MUVJJSFpIQlZHUVFYNDVTT1c0RlpOfC9aWg==,Advantageous.2015.HDRip.XviD.AC3-EVO
